rdf-schema#label,author_label,firstPublicationDate,lastPublicationDate,magazine_label,numberOfVolumes,publisher_label
Red Eyes,Jun_Shindo,NULL,NULL,NULL,15,Kodansha
Red Garden,Gonzo (company),2006-08-30,2009-01-30,Comic Birz,4,Gentosha
Red Prowling Devil,Toshimitsu_Shimizu,1999-10-01,NULL,Young King OURs,8,{ComicsOne|Shōnen_Gahousha}
Red Raven (manga),Fujimoto_Shinta,NULL,NULL,Gangan Comics,9,Square Enix
Red River (manga),Chie Shinohara,NULL,NULL,Shōjo Comic,28,Shogakukan
Reideen,NULL,2006-11-25,2007-07-26,Monthly Shōnen Ace,2,Kadokawa Shoten
Reign: The Conqueror,Hiroshi Aramata,NULL,NULL,NULL,3,Kadokawa_Haruki_Office
Reikenzan: Hoshikuzu-tachi no Utage,NULL,NULL,NULL,NULL,NULL,NULL
Reiko the Zombie Shop,Rei Mikamoto,NULL,NULL,Horror_M,11,Bunkasha
Remote (manga),Shin Kibayashi,NULL,NULL,Weekly Young Magazine,10,Kodansha
Renai Bōkun,NULL,NULL,NULL,NULL,7,NULL
NULL,Garakuta_House,2006-11-27,NULL,Dengeki Daioh,1,MediaWorks (publisher)
Rental Magica,Makoto_Sanda,{2004-08-31|2007-05-26},2008-04-26,{Monthly Asuka|Monthly Comp Ace|The Sneaker},{2|5|24},Kadokawa Shoten
Reptilia (manga),Kazuo Umezu,NULL,NULL,NULL,1,Kadokawa Shoten
Rescue Me!,Yoshiharu_Makita,NULL,NULL,Champion Red,4,Akita Shoten
Reverse!?,Kazuhiko Mishima,NULL,NULL,NULL,2,NULL
Reverse Edge: Ōkawabata Tanteisha,Marley Carib,NULL,NULL,Weekly Manga Goraku,5,Nihon Bungeisha
Revolutionary Girl Utena,Chiho Saito,NULL,NULL,Ciao (magazine),5,Shogakukan
Rewrite (visual novel),{Ryukishi07|Yūto Tonokawa|Romeo Tanaka},NULL,NULL,Dengeki G's Magazine,1,ASCII Media Works
Rica 'tte Kanji!?,Rica Takashima,NULL,NULL,{Anise_(magazine)|Phryne_(magazine)},1,Anise_(magazine)
Riddle Story of Devil,Yun Kōga,NULL,NULL,Monthly Newtype,3,Kadokawa Shoten
Rideback,NULL,2009-01-21,NULL,Monthly Ikki,{1|10},Shogakukan
NULL,Kenichi Sonoda,NULL,NULL,NULL,4,NULL
Riki-Oh,NULL,NULL,NULL,Business Jump,{9|12},Shueisha
Rin!,Satoru_Kannagi,2002-12-12,2004-10-25,NULL,3,{Digital Manga|Tokuma Shoten}
Rin-ne,Rumiko Takahashi,2009-04-22,NULL,Weekly Shōnen Sunday,28,Shogakukan
Ring ni Kakero,Masami Kurumada,NULL,NULL,{Weekly Shōnen Jump|Super Jump},{25|26},Shueisha
Ringing Bell,Takashi Yanase,NULL,NULL,NULL,NULL,Shueisha
Ristorante Paradiso,Natsume Ono,NULL,NULL,Manga Erotics F,{1|3},Ohta Publishing
Rizelmine,Yukiru Sugisaki,NULL,NULL,NULL,1,Kadokawa Shoten
Ro-Kyu-Bu!,NULL,{2009-02-10|2012-10-26},2015-07-10,{Dengeki Daioh|Dengeki G's Magazine|Dengeki Bunko Magazine|Dengeki G's Comic},{1|2|7|15},ASCII Media Works
Robot: Super Color Comic,NULL,2004-10-21,2008-02-07,NULL,10,Wanimagazine
Robotan,NULL,NULL,NULL,NULL,2,NULL
Robotics;Notes,5pb.,2012-07-26,NULL,{Ultra Jump|Monthly Shōnen Ace|Gangan Comics|Monthly Comic Alive|Monthly Comic Blade},{1|2|3|6},{Square Enix|Mag Garden|Shueisha|Media Factory|Kadokawa Shoten|Enterbrain}
Rocket Girls,Hōsuke Nojiri,1995-03-25,2007-08-25,Dragon Magazine (Fujimi Shobo),4,{Viz Media|Fujimi Shobo}
Rockin' Heaven,Mayu Sakai,NULL,NULL,Ribon,8,Shueisha
Rokka: Braves of the Six Flowers,NULL,{2011-08-25|2012-02-25},NULL,NULL,{3|6},Shueisha
Rokudenashi Blues,Masanori Morita,NULL,NULL,Weekly Shōnen Jump,42,Shueisha
Romance of Darkness,Chie Shinohara,NULL,NULL,Betsucomi,5,Shogakukan
Romantic Illusions,Reiichi_Hiiro,2006-06-25,NULL,NULL,1,{Digital Manga|Tokuma Shoten}
Romantica Clock,Yōko Maki (artist),NULL,NULL,Ribon,9,Shueisha
NULL,Reiko Yoshida,NULL,NULL,Monthly Asuka,2,Kadokawa Shoten
NULL,NULL,NULL,NULL,Weekly Shōnen Magazine,2,Kodansha
NULL,NULL,NULL,NULL,Comic BomBom,1,Kodansha
Rookies (manga),Masanori Morita,1998-06-04,2003-11-04,Weekly Shōnen Jump,24,Shueisha
Rosario + Vampire,{Fumihiko Shimo|Akihisa Ikeda},2008-04-04,2007-10-04,{Weekly Shōnen Jump|Monthly Shōnen Jump|Jump Square},{10|14},Shueisha
Rose Guns Days,Ryukishi07,2012-12-25,2013-10-25,{Gangan Comics|Monthly Shōnen Sirius},{1|2|8},{Square Enix|Kodansha}
Rose Hip Rose,Tooru Fujisawa,NULL,NULL,Young Magazine Uppers,4,Kodansha
Rose Hip Zero,Tooru Fujisawa,NULL,NULL,Weekly Shōnen Magazine,5,Kodansha
Rough (manga),Mitsuru Adachi,NULL,NULL,Weekly Shōnen Sunday,12,Shogakukan
NULL,Katsuhiro Otomo,NULL,NULL,NULL,1,Kodansha
Rozen Maiden,Peach-Pit,{2002-08-12|2008-04-17},{2007-05-30|2014-01-23},{Weekly Young Jump|Comic Birz},{8|10},{Shueisha|Gentosha}
Rubbers 7,Sukune Inugami,NULL,NULL,Monthly Sunday Gene-X,7,Shogakukan
Ruff Love,Tamaki_Kirishima,2006-12-28,NULL,NULL,1,Nihon Bungeisha
Ruin Explorers,Kunihiko Tanaka,NULL,NULL,Hobby Japan,2,Hobby Japan
Rumic Theater,Rumiko Takahashi,NULL,NULL,Big Comic Original,4,Shogakukan
Rumic World,Rumiko Takahashi,NULL,NULL,NULL,3,Shogakukan
Rune Soldier,Ryo Mizuno,NULL,NULL,Dragon Magazine (Fujimi Shobo),{6|20},Fujimi Shobo
Rurouni Kenshin,Nobuhiro Watsuki,{1994-04-25|1996-10-10|2012-05-02|2014-07-04},{1999-11-04|2013-06-04|2014-09-04},{Weekly Shōnen Jump|Jump Square},{1|2|28},Shueisha
Ryū (manga),Masao_Yajima,NULL,NULL,Weekly Shōnen Sunday,7,Shogakukan
Ryūrōden,Ryūrōden,NULL,NULL,Monthly Shōnen Magazine,{16|37},Kodansha
NULL,NULL,2002-05-10,2003-05-10,NULL,3,NULL
NULL,NULL,2001-10-04,2002-06-20,Weekly Shōnen Champion,5,Akita Shoten
S.L.H Stray Love Hearts!,Aya_Shouoto,NULL,NULL,Sylph (magazine),5,MediaWorks (publisher)
S.S. Astro,NULL,2005-02-24,NULL,Manga Time Kirara Carat,1,{Yen Press|Houbunsha}
SD Gundam Force Emaki Musharetsuden,Masato Ichishiki,NULL,NULL,Comic BomBom,3,Kodansha
SD Gundam Musha Banchō Fūunroku,Masato Ichishiki,NULL,NULL,Comic BomBom,4,Kodansha
SD Gundam Mushamaruden,Masato Ichishiki,NULL,NULL,Comic BomBom,2,Kodansha
SS (manga),Shohei Harumoto,NULL,NULL,Big Comic Superior,9,{Shogakukan|Chuang Yi}
S (novel series),Saki_Aida,2005-02-10,2006-10-27,NULL,4,Taiyoh_Tosho
S · A: Special A,Maki Minami,2003-04-01,2009-03-19,Hana to Yume,{1|17},Hakusensha
Sabagebu!,NULL,NULL,NULL,Nakayoshi,9,Kodansha
Sabaku no Tami,Hayao Miyazaki,1969-09-12,NULL,NULL,NULL,NULL
NULL,Satoru Akahori,NULL,1999-07-01,NULL,14,Fujimi Shobo
NULL,Satoru Akahori,NULL,NULL,Monthly Dragon Age,5,{Tokyopop|Madman Entertainment|Kadokawa Shoten}
Sabu to Ichi Torimono Hikae,Shotaro Ishinomori,NULL,1972-04-10,{Weekly Shōnen Sunday|Big Comic},17,{Shogakukan|Asahi Sonorama}
Sadamitsu the Destroyer,Masahiko Nakahira,NULL,NULL,Ultra Jump,12,Shueisha
Saekano: How to Raise a Boring Girlfriend,NULL,{2012-07-20|2013-01-09|2013-02-04|2013-08-24|2015-02-20},2014-05-02,{Gangan Comics|Monthly Dragon Age|Young Ace},{2|3|6|9},{Square Enix|Kadokawa Shoten|Fujimi Shobo}
Saikano,Shin Takahashi,2000-05-30,2001-12-25,Big Comic Spirits,7,Shogakukan
Saiki Kusuo no Psi-nan,NULL,2012-05-14,NULL,Weekly Shōnen Jump,15,Shueisha
Saikyō! Toritsu Aoizaka Kōkō Yakyūbu,Motoyuki_Tanaka,NULL,NULL,Weekly Shōnen Sunday,26,Shogakukan
Sailor Moon,Naoko Takeuchi,1991-12-28,1997-02-03,Nakayoshi,18,Kodansha
NULL,Kiira~☆,2006-06-30,2007-07-30,Monthly Comic Blade,2,Mag Garden
Saint Seiya,Masami Kurumada,2002-08-23,2002-12-16,Weekly Shōnen Jump,{2|28},Shueisha
Saint Seiya: Next Dimension,Masami Kurumada,2006-04-27,NULL,Weekly Shōnen Champion,9,Akita Shoten
Saint Seiya: Saintia Shō,Chimaki_Kuori,2013-08-19,NULL,Champion Red,6,Akita Shoten
Saint Seiya: The Lost Canvas,NULL,{2006-08-24|2011-05-19},2011-04-06,{Weekly Shōnen Champion|Akita Shoten},{14|25},Akita Shoten
Saint Seiya Episode.G,Megumu Okada,{2002-12-19|2007-10-19|2014-04-05},{2008-01-19|2013-06-19},Champion Red,{1|5|20},Akita Shoten
NULL,NULL,2013-03-26,2013-07-26,Kerokero Ace,1,Kadokawa Shoten
Saint Tail,Megumi Tachikawa,NULL,NULL,Nakayoshi,7,Kodansha
Saint Young Men,Hikaru Nakamura (artist),2006-09-22,NULL,Morning_2,12,Kodansha
Saiyuki (manga),Kazuya Minekura,{1997-02-18|2002-03-28|2009-12-28},{2002-01-18|2009-06-27},{Gangan Comics|Monthly Comic Zero Sum},{9|10},Enix
Saki (manga),NULL,{2006-02-03|2011-06-17|2013-09-25},NULL,Gangan Comics,{3|6|13},Square Enix
Sakigake!! Otokojuku,Akira_Miyashita,{2014-04-04|2014-04-25},NULL,{Weekly Shōnen Jump|Weekly Playboy|Super Jump|Weekly Manga Goraku},{3|10|25|27|34},{Nihon Bungeisha|Shueisha}
Sakura Diaries,U-Jin,NULL,NULL,Weekly Young Sunday,20,Shogakukan
Sakura Gari,Yuu Watase,NULL,NULL,NULL,3,Shogakukan
Sakura Hime: The Legend of Princess Sakura,Arina Tanemura,2008-12-01,NULL,Ribon,12,{Viz Media|Shueisha}
Sakura Trick,Tachi_(illustrator),2011-03-16,NULL,NULL,5,Houbunsha
Sakura no Sono,Akimi Yoshida,NULL,NULL,LaLa,NULL,Hakusensha
Sakura no Uta,NULL,2005-03-26,2006-03-26,Monthly Comp Ace,1,Kadokawa Shoten
Sakuran,Moyoco Anno,NULL,NULL,Evening (magazine),1,Kodansha
Salad Days (manga),Shinobu_Inokuma,1998-05-18,2002-02-19,Weekly Shōnen Sunday,18,Shogakukan
Salaryman Kintarō,Hiroshi_Motomiya,NULL,NULL,Weekly Young Jump,{7|30},Shueisha
Sally the Witch,Mitsuteru Yokoyama,NULL,NULL,Ribon,1,Shueisha
Samurai Champloo,NULL,2004-01-26,2004-09-26,Monthly Shōnen Ace,2,Kadokawa Shoten
Samurai Commando: Mission 1549,NULL,2005-05-26,2005-12-26,NULL,2,Kadokawa Shoten
Samurai Crusader,{Oji Hiroi|Ryoichi Ikegami},NULL,NULL,Weekly Shōnen Sunday,2,Shogakukan
Samurai Deeper Kyo,Akimine Kamijyo,1999-10-15,2006-05-10,Weekly Shōnen Magazine,38,Kodansha
Samurai Executioner,Kazuo Koike,NULL,NULL,NULL,10,Kodansha
NULL,NULL,NULL,NULL,NULL,NULL,Square Enix
Samurai Girl: Real Bout High School,NULL,NULL,NULL,{Dragon Magazine (Fujimi Shobo)|Monthly Dragon Age},{6|19},Fujimi Shobo
Samurai Gun,NULL,NULL,NULL,{Ultra Jump|Weekly Young Jump},{1|7},Shueisha
Samurai Harem: Asu no Yoichi,Yū Minamoto,2006-10-06,2011-03-08,Monthly Shōnen Champion,15,Akita Shoten
Samurai Legend,Kan_Furuyama,NULL,NULL,NULL,1,Akita Shoten
Samurai Usagi,Teppei_Fukushima,NULL,NULL,Weekly Shōnen Jump,8,Shueisha
Sanctuary (manga),Buronson,NULL,NULL,Big Comic Superior,12,Shogakukan
Sand Chronicles,Hinako Ashihara,NULL,NULL,Betsucomi,10,Shogakukan
Sand Land,Akira Toriyama,2000-11-02,NULL,Weekly Shōnen Jump,1,Shueisha
NULL,NULL,2008-07-26,NULL,Dengeki Maoh,NULL,ASCII Media Works
Sangokushi (manga),Mitsuteru Yokoyama,NULL,NULL,Comic_Tom,60,Ushio_Shuppansha
Sankarea: Undying Love,Mitsuru Hattori,{2009-12-09|2013-07-02},2014-09-09,Bessatsu Shōnen Magazine,11,Kodansha
Sansha San'yō,NULL,NULL,NULL,{Manga Time Kirara Carat|Manga Time Kirara},11,Houbunsha
Sanzoku Diary,NULL,2011-12-22,NULL,Evening (magazine),5,Kodansha
Saru Lock,Naoki Serizawa,NULL,NULL,Weekly Young Magazine,22,Kodansha
Sarutobi Ecchan,Shotaro Ishinomori,NULL,NULL,{Nakayoshi|Margaret (magazine)},5,Sun_Comics
Sasami-san@Ganbaranai,NULL,{2009-12-18|2012-10-17},2013-09-24,{Weekly Shōnen Sunday|Shōnen Sunday Super},{4|11},Shogakukan
Sasami: Magical Girls Club,Anime International Company,2005-12-09,2006-04-08,Monthly Dragon Age,1,Kadokawa Shoten
Satanikus ENMA Kerberos,Go Nagai,2007-06-26,2009-01-26,Monthly Magazine Z,4,Kodansha
Satisfaction Guaranteed (manga),Ryo_Saenagi,NULL,NULL,Hana to Yume,9,{Tokyopop|Hakusensha}
Saturn Apartments,Hisae Iwaoka,2006-10-30,2011-08-30,Monthly Ikki,7,{Shogakukan|Viz Media}
Say I love you,NULL,NULL,NULL,Dessert (magazine),15,Kodansha
Sayonara Tama-chan,NULL,2013-08-23,NULL,Evening (magazine),1,Kodansha
Sayonara Zetsubou-Sensei,Kōji Kumeta,2005-04-27,2012-06-13,Weekly Shōnen Magazine,30,Kodansha
Sayonara Midori-chan,Kyūta_Minami,NULL,NULL,Feel Young,NULL,Shodensha
Sayonara Sorcier,NULL,2013-05-10,2013-11-08,Flowers (magazine),2,Shogakukan
Sazae-san,Machiko Hasegawa,1946-04-22,1974-02-21,Asahi Shimbun,45,{Asahi Shimbun|Kodansha}
School-Live!,NULL,NULL,NULL,Manga Time Kirara Forward,7,Houbunsha
School Days (visual novel),0verflow,2006-05-26,2007-09-26,Monthly Comp Ace,2,Kadokawa Shoten
School Rumble,Jin Kobayashi,{2002-10-22|2008-08-20},{2008-07-23|2009-05-20},Weekly Shōnen Magazine,{1|2|22},Kodansha
School Zone (manga),Kanako_Inuki,NULL,NULL,NULL,3,Dark Horse Comics
Sci-Fi Harry,George Iida,NULL,NULL,NULL,2,Takeshobo
Scrapped Princess,Ichirō Sakaki,NULL,NULL,Dragon_Comics,{3|5|13},{Kadokawa Shoten|Fujimi Shobo}
Secret Chaser,Tamayo Akiyama,2006-06-13,2007-02-13,NULL,2,NULL
Seduce Me After the Show,Est em,NULL,NULL,Marble_Comics,1,Tokyo_Mangasha
See Me After Class,NULL,NULL,NULL,Monthly Comic Alive,3,Media Factory
Sega Hard Girls,NULL,2013-06-10,NULL,Dengeki Bunko Magazine,2,ASCII Media Works
Seigi no Mikata,NULL,NULL,NULL,Cocohana,7,Shueisha
Seikai no Danshō,Hiroyuki Morioka,2005-07-08,2014-03-20,SF Magazine,3,NULL
Seikimatsu Leader den Takeshi!,Mitsutoshi Shimabukuro,NULL,2002-09-01,Weekly Shōnen Jump,25,Shueisha
Seikimatsu no Angel,Erika Kurahashi,NULL,NULL,Ribon,4,Shueisha
Seisen Cerberus,NULL,NULL,NULL,Bessatsu Shōnen Magazine,2,Kodansha
Seishun Shiterukai!,Ryō_Azuki,NULL,NULL,Ribon,2,Shueisha
Seito Shokun!,Yōko Shōji,NULL,NULL,{Shōjo Friend|Be Love},{18|24|25},Kodansha
Seitokai Yakuindomo,NULL,NULL,NULL,{Weekly Shōnen Magazine|Magazine Special},12,Kodansha
Seiyu's Life!,Masumi Asano,NULL,NULL,NULL,NULL,NULL
Sekai-ichi Hatsukoi,Shungiku Nakamura,{2006-10-06|2007-11-01|2011-11-01},NULL,Emerald,{4|6|9},Kadokawa Shoten
Sekai de Ichiban Yasashii Ongaku,Mari Ozawa,NULL,NULL,Kiss (Japanese magazine),16,Kodansha
Sekirei,Ashika Sakura,2004-12-03,2015-08-21,Gangan Comics,18,Square Enix
NULL,Mari Okada,2014-07-19,2015-05-19,Ultra Jump,2,Shueisha
NULL,Mari Okada,NULL,NULL,Big_Gangan,NULL,Square Enix
Selfish Love,Naduki_Koujima,2004-09-22,2004-11-24,NULL,2,{Central Park Media|Libre Publishing}
Sengoku Strays,Shingo Nanami,NULL,NULL,Gangan Comics,10,Square Enix
Senki Senki Momotama,Nanae Chrono,NULL,NULL,Monthly Comic Blade,6,Mag Garden
Sennin Buraku,Kō Kojima,NULL,NULL,Weekly Asahi Geinō,NULL,Tokuma Shoten
Senpai to Kanojo,NULL,NULL,NULL,Bessatsu Friend,2,Kodansha
Senran Kagura,NULL,{2011-08-19|2011-08-27|2011-09-27|2012-09-07},{2012-02-17|2013-02-01|2013-07-27},{Monthly Comic Alive|Comic Rex},{1|2|3},{Ichijinsha|Media Factory|Enterbrain}
Sensitive Pornograph,Ashika Sakura,NULL,NULL,NULL,1,NULL
Sensual Phrase,Mayu Shinjo,NULL,NULL,Shōjo Comic,18,Shogakukan
Senyu,Robinson_Haruhara,NULL,NULL,{Jump Square|Suiyoubi_no_Sirius},{2|3|4},{Kodansha|Shueisha}
Seraph of the End,{Yamato Yamamoto|Takaya Kagami},2012-09-03,NULL,Jump Square,{1|10},Shueisha
NULL,Yoshitoshi ABe,NULL,NULL,NULL,NULL,NULL
Servamp,NULL,NULL,NULL,Monthly Comic Gene,9,Media Factory
Servant × Service,Karino_Takatsu,NULL,NULL,NULL,4,Square Enix
Seton's Wild Animals,Sanpei Shirato,NULL,NULL,NULL,{2|3},{Shogakukan|Seirindō}
Seven of Seven,Yasuhiro Imagawa,2001-11-08,2002-05-25,Weekly Shōnen Champion,3,Akita Shoten
Sex Warrior Pudding,Hinoki_Kazushi,2002-02-25,2005-10-24,NULL,6,Shogakukan
Sexy Commando Gaiden: Sugoi yo!! Masaru-san,Kyosuke Usuta,NULL,NULL,Weekly Shōnen Jump,7,Shueisha
Sexy Sailor Soldiers,Chataro,1995-04-30,2011-12-22,NULL,6,Tatsumi_Publishing_Co.
Sexy Voice and Robo,Iou Kuroda,2000-12-30,2003-02-01,Monthly Ikki,2,Shogakukan
Sgt. Frog,Mine Yoshizaki,NULL,NULL,{Monthly Shōnen Ace|Kerokero Ace},26,Kadokawa Shoten
Shadow Lady,Masakazu Katsura,NULL,NULL,Weekly Shōnen Jump,3,{Dark Horse Comics|Shueisha}
Shadow Skill,Megumu Okada,NULL,NULL,{Monthly Afternoon|Monthly Dragon Age},{4|11},{Takeshobo|Kodansha|Fujimi Shobo}
Shadow Star,Mohiro Kitoh,1998-03-25,2003-10-25,Monthly Afternoon,12,Kodansha
Shadows of Spawn,NULL,NULL,NULL,Dengeki Comic Gao!,3,NULL
Shakotan Boogie,Michiharu Kusunoki,1986-03-01,1996-08-06,Weekly Young Magazine,32,Kodansha
Shakugan no Shana,Yashichiro Takahashi,{2002-11-09|2007-09-19},2012-11-10,{Dengeki Daioh|Dengeki Maoh},{5|10|26},ASCII Media Works
Shaman King,Hiroyuki Takei,{1998-06-30|2011-11-10|2012-04-10},{2004-08-30|2014-10-10},Weekly Shōnen Jump,{1|2|6|32},Shueisha
NULL,NULL,NULL,NULL,NULL,1,Kadokawa Shoten
Shamo (manga),Izo Hashimoto,NULL,NULL,{Evening (magazine)|Manga Action},34,{Futabasha|Kodansha}
Shangri-La (novel),NULL,NULL,NULL,{Monthly Newtype|Monthly Shōnen Ace},{1|2|4},Kadokawa Shoten
Sharaku (manga),Go Nagai,2001-04-12,2002-02-10,Weekly Morning,1,Kodansha
Sharin no Kuni Himawari no Shōjo,Akabeisoft2,NULL,NULL,Dengeki Daioh,3,ASCII Media Works
Shattered Angels,Kaishaku (manga group),2007-02-20,NULL,Monthly Dragon Age,3,{Kadokawa Shoten|Fujimi Shobo}
NULL,NULL,NULL,NULL,Monthly Afternoon,NULL,Kodansha
Sherlock Bones,Shin Kibayashi,2011-10-19,2012-11-28,Weekly Shōnen Magazine,7,Kodansha
Shi to Kanojo to Boku,NULL,NULL,NULL,{Kiss (Japanese magazine)|Kiss_Plus},10,Kodansha
Shiawase no Jikan,NULL,NULL,NULL,NULL,NULL,Futabasha
Shigofumi: Letters from the Departed,NULL,2006-10-10,2008-03-10,NULL,4,MediaWorks (publisher)
Shigurui,Takayuki Yamaguchi (artist),NULL,NULL,Champion Red,15,Akita Shoten
Shiki (novel series),Fuyumi Ono,NULL,NULL,Jump Square,{2|5|11},{Shinchosha|Shueisha}
Shiki Tsukai,To-Ru_Zekuu,2005-07-26,2011-09-26,Monthly Shōnen Sirius,13,{Kodansha|Del Rey Manga}
Shiki no Zenjitsu,NULL,2012-09-10,NULL,NULL,1,Shogakukan
Shima Shima Tora no Shimajirō,NULL,NULL,NULL,Kodomo_Challenge,NULL,Benesse
Shimoneta,NULL,NULL,2016-02-18,Monthly Comic Blade,{2|11},{Shogakukan|Mag Garden}
Shin Honkaku Mahō Shōjo Risuka,Nisio Isin,NULL,NULL,Faust (magazine),3,Kodansha
NULL,NULL,2012-06-08,NULL,NULL,1,ASCII Media Works
NULL,NULL,2008-09-19,NULL,Dengeki Maoh,10,ASCII Media Works
NULL,NULL,2012-08-27,NULL,NULL,1,ASCII Media Works
NULL,NULL,2012-11-27,NULL,Dengeki Maoh,NULL,ASCII Media Works
Shina Dark,Bunjūrō Nakayama,2006-01-26,NULL,Dengeki Daioh,4,ASCII Media Works
Shindō (manga),Akira Sasō,{1997-04-16|2007-03-15},1998-06-09,Manga Action,4,Futabasha
Shinjuku Swan,NULL,NULL,NULL,Weekly Young Magazine,38,Kodansha
Shinkyoku Sōkai Polyphonica,{Ichirō Sakaki|Junichi_Ōsako|Madoka_Takadono|Toshihiko_Tsukiji|Ocelot_(company)},2007-03-01,NULL,NULL,4,Softbank_Creative
Shinmai Fukei Kiruko-san,NULL,NULL,NULL,Weekly Shōnen Jump,3,NULL
Shinobi Life,Shoko_Konami,2006-10-06,2012-06-15,Princess (magazine),13,Akita Shoten
Shinobi Shijuusou,Himuka_Tohru,NULL,NULL,NULL,NULL,Kadokawa Shoten
Shinobu Kokoro: Hidden Heart,Temari Matsumoto,2004-03-10,NULL,NULL,1,Tokyopop
Shinya Shokudō,Yarō_Abe,NULL,NULL,NULL,NULL,Shogakukan
NULL,NULL,NULL,NULL,NULL,2,Kodansha
Shion no Ō,Naoko Hayashiba,NULL,NULL,Monthly Afternoon,8,Kodansha
Shirahime-Syo: Snow Goddess Tales,Clamp (manga artists),1992-06-10,NULL,NULL,1,{Kadokawa Shoten|Kobunsha}
Shiratori Reiko de Gozaimasu!,Yumiko_Suzuki_(mangaka),NULL,NULL,Mimi_(magazine),7,Kodansha
Shirobako,NULL,{2014-09-27|2015-01-27},2015-11-27,Dengeki Daioh,2,{ASCII Media Works|Shueisha}
Shirogane no Seija,Yuka_Nagate,2007-09-07,2008-12-12,Weekly Comic Bunch,6,Shinchosha
Shiroi Heya no Futari,Ryoko Yamagishi,NULL,NULL,Ribon,1,Shueisha
Shiroi Senshi Yamato,Yoshihiro Takahashi,NULL,NULL,Monthly Shōnen Jump,26,Shueisha
Shirokuma Cafe,NULL,NULL,NULL,{Flowers (magazine)|Cocohana},5,{Shogakukan|Shueisha}
Shishunki Bitter Change,Masayoshi_(mangaka),2012-10-25,NULL,Comic_Polaris,5,Holp Shuppan
Shishunki Miman Okotowari,{Yuu Watase|Megumi_Nishizaki},NULL,NULL,Shōjo Comic,{1|3|4},Shogakukan
Shitsuji-sama no Okiniiri,Fuyu_Tsuyama,NULL,NULL,Bessatsu Hana to Yume,20,Hakusensha
Shitsurakuen (manga),Tōru_Naomura,2009-05-22,NULL,Gangan Comics,6,Square Enix
Shitsuren Chocolatier,Setona Mizushiro,NULL,NULL,Flowers (magazine),9,Shogakukan
Shizukanaru Don – Yakuza Side Story,Tatsuo_Nitta,1988-11-15,2013-01-08,Weekly Manga Sunday,108,Jitsugyo no Nihon Sha
Shizuku-chan,NULL,NULL,NULL,Nakayoshi,9,Kodansha
Shomin Sample,NULL,NULL,NULL,Comic Rex,{6|9},Ichijinsha
Shomuni,NULL,NULL,NULL,Weekly Morning,7,Kodansha
Shonan Junai Gumi,Tooru Fujisawa,NULL,NULL,Weekly Shōnen Magazine,31,Kodansha
Short-Tempered Melancholic,Arina Tanemura,NULL,NULL,Ribon,1,{Viz Media|Shueisha}
Short Program (manga),Mitsuru Adachi,NULL,NULL,NULL,4,Shogakukan
Shota no Sushi,Daisuke Terasawa,NULL,NULL,Weekly Shōnen Magazine,{17|27},Kodansha
Shoulder-a-Coffin Kuro,Satoko Kiyuduki,NULL,NULL,Manga Time Kirara,5,Houbunsha
Shout Out Loud!,Satosumi_Takaguchi,NULL,NULL,Monthly Asuka,5,Kadokawa Shoten
Showa: A History of Japan,Shigeru Mizuki,NULL,NULL,NULL,13,Kodansha
Shrine of the Morning Mist,Hiroki_Ugawa,NULL,NULL,Young King OURs,9,Shōnen Gahōsha
Shuffle!,Navel (company),2004-06-08,2006-01-10,Comptiq,{6|7},Kadokawa Shoten
Shugo Chara!,Peach-Pit,2008-12-05,2010-12-28,Nakayoshi,{1|4|12},Kodansha
Shukufuku no Campanella,Windmill (company),NULL,NULL,{Comptiq|Monthly Comic Alive},{1|2},{Media Factory|Kadokawa Shoten}
Shura no Mon,Masatoshi Kawahara,NULL,NULL,Monthly Shōnen Magazine,{8|15|16|31},Kodansha
Shut Hell,Yu_Itō,NULL,NULL,Big Comic Spirits,10,Shogakukan
Shutendoji (manga),{Yasutaka Nagai|Go Nagai|Shigekazu_Kitamura},1976-09-05,1978-04-30,{Weekly Shōnen Magazine|Champion Red},{2|6|7|9},{Kodansha|Kadokawa Shoten|Akita Shoten|JICC}
Shōjo Sect,NULL,2003-06-17,2005-06-17,NULL,2,Core Magazine
Shōjo Tsubaki,Suehiro Maruo,NULL,NULL,NULL,1,NULL
Shōnen Hollywood,NULL,NULL,NULL,NULL,NULL,Shogakukan
Shōnen Maid,NULL,2008-03-12,NULL,NULL,8,Enterbrain
Shōnen Onmyōji,{Mitsuru Yūki|Hinoko_Seta},2005-08-24,NULL,Monthly Asuka,{1|36},Kadokawa Shoten
Shōnen to Inu,Araki_Jō,1994-12-07,NULL,NULL,NULL,{Shueisha|SC_Allman}
Shōwa Genroku Rakugo Shinjū,NULL,NULL,NULL,NULL,8,Kodansha
Sickness Unto Death (manga),NULL,2010-02-26,NULL,Young Animal,2,Hakusensha
Silent Möbius,Kia Asamiya,NULL,NULL,NULL,12,Kadokawa Shoten
Silver Diamond,Shiho Sugiura,2003-12-20,2012-05-20,Ichiraci,27,Tosuisha
Silver Spoon (manga),Hiromu Arakawa,2011-04-06,NULL,Weekly Shōnen Sunday,13,Shogakukan
NULL,Junko_Okazaki,NULL,NULL,NULL,2,Gakken
NULL,Hayase_Hashiba,NULL,NULL,Comic Yuri Hime,1,Ichijinsha
NULL,Wataru_Akiduki,NULL,NULL,Megami Magazine,NULL,Gakken
